hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
1,1,3,1,1,2,no,yes,70.0,no,no,no,no,yes
6,2,19,4,7,1,yes,yes,unknown,no,no,yes,no,no
1,0,8,2,3,1,yes,yes,1.0,no,no,yes,no,yes
2,2,20,5,6,0,no,yes,3.0,no,no,no,no,yes
1,1,6,2,2,1,no,yes,30.0,no,no,no,no,yes
0,0,5,0,2,2,no,yes,unknown,no,no,no,no,no
2,0,9,1,4,0,no,yes,70.0,no,no,yes,no,no
4,1,12,4,4,2,no,yes,30.0,no,no,no,no,no
1,0,6,1,3,1,yes,no,,no,no,yes,no,yes
1,1,5,3,1,1,no,yes,50.0,no,no,no,no,no
1,2,3,1,2,1,yes,no,,no,no,no,no,no
2,0,4,0,2,0,no,yes,20.0,no,no,no,no,no
1,1,7,1,3,1,yes,yes,10.0,no,no,yes,no,yes
1,1,3,0,1,1,yes,yes,1.0,no,no,no,no,no
0,0,6,0,3,0,yes,yes,2.0,no,no,no,no,no
1,1,3,1,2,0,no,no,,no,no,no,no,no
0,1,2,0,2,0,no,yes,10.0,no,no,no,no,no
0,0,2,0,2,1,yes,yes,40.0,no,no,no,no,no
0,0,2,0,1,0,no,no,,no,no,no,no,no
1,1,3,1,1,1,yes,no,,no,no,yes,no,yes
1,2,3,0,3,2,no,yes,500.0,no,no,no,no,yes
1,0,4,0,2,1,yes,yes,175.0,no,no,yes,no,no
1,0,8,2,3,0,yes,yes,50.0,no,no,no,no,no
0,1,4,1,3,0,no,yes,50.0,no,no,no,no,no
1,0,6,2,3,0,no,no,,no,no,no,no,no
1,1,3,1,1,0,yes,yes,30.0,no,no,no,no,no
1,0,6,1,3,0,no,yes,100.0,no,no,no,no,no
2,0,10,5,3,0,no,no,,no,no,no,no,no
0,0,2,0,3,0,yes,yes,100.0,no,no,no,no,no
1,0,3,1,3,1,yes,yes,200.0,no,no,no,no,yes
1,0,7,1,4,1,yes,yes,100.0,no,no,yes,no,yes
0,0,7,2,2,0,no,yes,95 or more,no,no,no,no,no
1,0,6,2,3,0,yes,no,,no,no,yes,no,no
0,1,3,0,5,1,no,yes,95 or more,no,no,no,no,yes
1,0,4,2,2,0,yes,no,,no,no,yes,no,no
2,0,13,4,3,0,yes,yes,100.0,no,no,no,no,no
1,0,5,1,4,0,yes,no,,no,no,yes,no,no
3,1,10,4,4,1,yes,yes,250.0,no,no,yes,no,no
2,1,6,1,4,2,no,no,,no,no,no,no,yes
1,3,5,0,3,3,yes,no,,no,no,yes,no,yes
2,1,7,0,3,2,yes,yes,30.0,no,no,no,no,yes
2,1,11,1,2,3,yes,yes,unknown,no,no,yes,no,yes
1,1,5,1,3,2,yes,no,,no,no,no,no,no
1,0,8,3,2,3,yes,yes,unknown,no,yes,yes,no,yes
1,0,3,0,1,3,yes,no,,no,no,no,no,yes
1,0,3,0,3,3,no,no,,no,no,yes,no,no
2,0,3,1,2,3,yes,no,,no,no,no,no,no
2,1,4,0,1,3,yes,no,,no,no,yes,no,yes
3,0,8,0,4,3,yes,yes,50.0,no,no,no,no,yes
2,0,7,0,2,2,yes,no,,no,no,yes,no,yes
1,2,4,1,4,4,yes,yes,25.0,yes,no,no,yes,yes
1,0,2,0,1,3,yes,no,,no,no,yes,no,yes
1,2,7,1,2,2,yes,yes,25.0,no,no,no,no,yes
0,0,1,0,1,3,yes,no,,no,no,no,no,yes
2,0,3,0,1,3,yes,no,,no,no,yes,no,no
2,0,7,1,2,3,yes,no,,no,no,yes,no,yes
1,0,5,1,4,3,yes,yes,unknown,no,no,yes,no,yes
2,0,4,0,3,3,yes,no,,no,no,no,no,no
0,1,1,0,3,3,yes,yes,12.0,no,no,no,no,yes
1,0,3,1,2,3,yes,no,,no,no,yes,no,yes
1,0,1,0,1,3,yes,no,,no,no,yes,no,no
1,0,7,0,5,3,yes,no,,no,no,yes,no,yes
3,1,6,0,4,3,yes,no,,no,no,no,no,yes
0,0,2,0,3,0,yes,no,,no,no,no,no,no
1,0,4,1,3,2,yes,yes,20.0,no,no,no,no,yes
2,2,10,2,3,1,yes,yes,21.0,no,no,yes,no,yes
1,0,3,0,2,1,yes,yes,1.0,no,no,no,no,yes
1,0,5,1,3,2,no,yes,1.0,no,no,no,no,yes
1,0,8,4,3,1,yes,yes,30.0,no,no,no,no,yes
1,0,5,0,3,1,yes,yes,10.0,no,no,no,no,no
0,0,6,0,4,2,yes,no,,no,no,no,no,no
2,0,2,0,3,0,yes,yes,10.0,no,no,no,no,no
1,0,7,1,4,0,yes,yes,2.0,no,no,no,no,no
2,2,7,1,4,1,yes,yes,15.0,no,no,yes,no,yes
0,1,3,0,4,4,yes,yes,2.0,no,yes,yes,no,yes
1,0,5,2,2,1,yes,yes,2.0,no,no,no,no,yes
3,2,7,1,3,1,yes,yes,5.0,no,no,yes,no,yes
0,0,7,1,5,0,yes,yes,11.0,no,no,no,no,yes
0,1,1,0,2,0,no,yes,15.0,no,no,no,no,no
1,2,5,1,3,1,yes,yes,15.0,no,no,yes,no,yes
0,0,2,0,1,0,no,yes,5.0,no,no,no,no,no
1,2,5,1,3,2,yes,yes,25.0,no,no,yes,no,yes
0,0,2,0,2,2,yes,no,,no,no,yes,no,yes
1,0,4,0,3,1,yes,yes,15.0,no,no,yes,no,yes
1,0,3,1,4,2,no,yes,10.0,no,no,no,no,yes
1,1,6,1,3,0,yes,yes,10.0,no,no,no,no,yes
2,0,6,1,4,2,yes,yes,60.0,no,no,no,no,yes
1,0,7,2,3,2,yes,yes,40.0,no,no,yes,no,yes
1,1,4,2,2,2,yes,yes,35.0,no,no,yes,no,no
1,0,10,3,12,2,yes,yes,45.0,no,no,no,no,no
1,0,3,0,1,0,no,yes,45.0,no,no,no,no,no
1,1,7,0,4,1,no,yes,45.0,no,no,no,no,no
0,0,4,1,3,0,no,yes,45.0,no,no,yes,no,no
2,1,5,1,3,0,no,yes,30.0,no,no,no,no,no
2,0,3,0,2,1,no,yes,20.0,no,no,no,no,no
2,0,8,2,3,1,yes,yes,45.0,no,no,no,no,no
1,0,6,2,3,0,no,yes,25.0,no,no,no,no,no
1,0,4,1,2,0,no,yes,25.0,no,no,no,no,no
1,1,2,0,2,0,no,yes,55.0,no,no,no,no,no
1,2,6,0,3,1,no,yes,35.0,no,no,no,no,no
0,1,2,0,1,0,no,yes,45.0,no,no,no,no,no
1,0,4,2,2,0,no,yes,45.0,no,no,no,no,no
1,1,4,0,4,0,no,yes,45.0,no,no,no,no,no
1,3,8,1,4,0,no,yes,30.0,no,no,no,no,yes
3,0,8,2,4,0,no,yes,45.0,no,no,no,no,no
1,0,3,1,1,0,no,yes,55.0,no,no,no,no,no
1,1,6,0,3,0,no,yes,45.0,no,no,yes,no,no
1,1,8,2,4,2,yes,yes,50.0,no,no,yes,no,yes
1,1,5,1,2,2,yes,yes,30.0,no,no,yes,no,no
2,1,3,0,2,0,no,yes,55.0,no,no,no,no,no
1,0,5,2,2,1,no,yes,30.0,no,no,no,no,no
2,0,3,0,1,3,yes,no,,no,no,no,no,no
4,0,11,0,4,3,yes,no,,no,no,yes,no,yes
1,1,4,1,4,3,yes,no,,no,no,yes,no,yes
2,1,7,1,4,2,yes,yes,100.0,no,no,yes,no,yes
0,0,1,0,1,3,yes,no,,no,no,no,no,yes
2,0,6,1,1,2,yes,no,,no,no,yes,no,yes
0,0,1,0,5,3,yes,no,,no,no,yes,no,no
2,1,4,1,1,3,yes,no,,no,no,yes,no,yes
1,1,4,1,4,3,yes,yes,50.0,no,no,no,no,yes
1,0,6,2,2,1,yes,no,,no,no,no,no,yes
1,2,6,1,6,4,yes,yes,4.0,yes,yes,yes,yes,yes
3,2,9,1,4,3,yes,no,,no,no,yes,no,yes
1,0,6,0,2,2,yes,yes,125.0,no,no,yes,no,yes
2,1,11,3,5,3,yes,yes,50.0,no,no,no,no,yes
1,0,3,0,1,2,yes,yes,10.0,no,no,no,no,yes
1,1,4,1,1,2,yes,yes,25.0,no,no,no,no,no
1,1,4,1,1,3,yes,no,,no,no,no,no,yes
2,0,14,4,3,2,yes,yes,unknown,no,no,no,no,no
5,2,15,1,10,3,yes,no,,no,no,yes,no,yes
3,1,9,1,2,2,yes,no,,no,no,no,no,no
1,0,8,1,2,3,yes,no,,no,no,yes,no,yes
3,0,7,1,1,2,yes,yes,200.0,no,no,yes,no,yes
1,0,6,2,2,3,yes,no,,no,no,yes,no,yes
2,0,6,0,4,3,yes,yes,250.0,no,no,yes,no,yes
2,0,10,3,2,3,yes,no,,no,no,no,no,no
1,0,3,1,1,3,yes,no,,no,no,no,no,no
0,0,5,0,4,4,yes,no,,yes,no,yes,yes,yes
1,1,5,0,4,3,yes,no,,no,no,no,no,no
1,0,4,0,2,3,yes,no,,no,no,yes,no,yes
0,0,2,0,1,2,no,no,,no,no,no,no,no
1,0,2,0,1,3,yes,no,,no,no,no,no,no
1,0,4,1,2,2,yes,no,,no,no,no,no,yes
0,1,1,0,1,3,yes,no,,no,no,yes,no,yes
2,1,6,0,4,4,yes,no,,yes,yes,no,no,yes
0,0,2,0,2,3,yes,no,,no,no,yes,no,yes
1,1,4,2,2,3,yes,no,,no,no,no,no,yes
2,2,12,2,4,3,yes,no,,no,no,no,no,yes
1,0,1,0,1,3,yes,no,,no,no,no,no,yes
1,0,5,2,3,3,yes,no,,no,no,no,no,yes
0,0,2,0,2,3,yes,no,,no,no,no,no,yes
1,0,4,1,1,3,yes,no,,no,no,no,no,no
1,0,2,1,1,3,yes,no,,no,no,no,no,yes
1,0,5,1,2,3,yes,no,,no,no,no,no,yes
0,2,2,0,1,4,yes,no,,no,no,no,no,yes
0,1,1,0,2,3,yes,no,,no,no,no,no,yes
1,0,4,1,1,3,yes,no,,no,no,no,no,yes
1,1,5,1,2,3,yes,yes,unknown,no,no,no,no,yes
0,0,3,0,2,0,no,yes,50.0,no,no,no,no,no
1,1,6,1,2,0,no,yes,30.0,no,no,yes,no,no
1,0,5,1,1,0,no,yes,20.0,no,no,no,no,no
1,0,5,0,4,0,no,yes,5.0,no,no,no,no,no
1,1,5,0,1,0,no,yes,5.0,no,no,yes,no,no
1,1,5,3,2,0,no,yes,30.0,no,no,no,no,no
1,1,3,1,1,0,no,yes,10.0,no,no,no,no,no
1,1,6,1,3,0,no,yes,20.0,no,no,no,no,no
2,0,8,4,2,0,no,yes,20.0,no,no,no,no,no
1,0,3,1,1,0,no,yes,20.0,no,no,no,no,no
1,0,3,1,1,0,yes,yes,10.0,no,no,no,no,no
1,1,4,0,3,0,no,yes,30.0,no,no,no,no,no
2,0,5,2,2,1,yes,yes,30.0,no,no,yes,no,yes
3,0,9,4,4,0,no,yes,5.0,no,no,no,no,no
3,0,7,3,4,0,no,yes,30.0,no,no,no,no,no
1,2,5,1,3,0,no,yes,20.0,no,no,yes,no,no
1,2,5,0,2,0,no,yes,20.0,no,no,yes,no,no
1,0,4,1,2,0,no,yes,20.0,no,no,no,no,no
1,2,3,0,2,0,no,yes,10.0,no,no,no,no,no
0,0,5,0,2,0,yes,yes,20.0,no,no,no,no,no
1,0,4,0,2,0,no,yes,30.0,no,no,no,no,no
1,1,7,1,3,0,no,yes,5.0,no,no,no,no,no
1,0,6,2,1,0,no,yes,10.0,no,no,no,no,no
1,0,2,0,1,0,no,yes,30.0,no,no,no,no,no
0,1,7,0,4,0,no,yes,unknown,no,no,no,no,no
2,2,9,2,4,0,yes,yes,100.0,no,no,no,no,no
2,0,6,2,4,0,yes,yes,13.0,no,no,no,no,no
3,0,8,2,4,2,yes,yes,unknown,no,yes,yes,no,yes
0,0,8,1,3,1,yes,yes,unknown,no,no,no,no,yes
1,0,5,0,3,0,no,yes,unknown,no,no,no,no,no
1,1,4,0,1,1,yes,yes,unknown,no,no,no,no,yes
0,0,7,1,3,0,no,yes,unknown,no,no,no,no,no
1,0,4,1,3,1,yes,yes,51.0,no,no,no,no,no
1,0,2,1,1,0,no,yes,unknown,no,no,no,no,no
1,0,5,0,3,1,yes,no,,no,no,yes,no,no
1,1,5,0,3,1,no,yes,unknown,no,no,no,no,yes
2,0,5,1,3,1,yes,yes,unknown,no,no,yes,no,no
2,1,10,3,2,1,yes,yes,unknown,no,no,yes,no,yes
0,2,5,1,3,2,no,yes,unknown,no,no,no,no,no
1,0,5,3,1,0,yes,yes,unknown,no,no,no,no,no
0,0,8,0,4,0,no,yes,34.0,no,no,no,no,no
1,0,5,0,2,1,yes,yes,23.0,no,no,no,no,no
1,1,5,2,1,0,yes,yes,unknown,no,no,no,no,no
1,3,6,2,3,1,yes,yes,130.0,no,no,yes,no,yes
2,1,4,1,3,0,no,yes,unknown,no,no,no,no,no
1,0,5,1,3,1,yes,yes,31.0,no,no,no,no,no
1,0,4,1,1,0,no,no,,no,no,no,no,no
1,1,4,0,1,0,no,yes,140.0,no,no,no,no,no
2,0,5,0,1,3,yes,no,,no,no,no,no,no
4,4,16,2,5,4,yes,no,,no,no,yes,no,yes
1,1,2,0,1,2,yes,yes,unknown,no,no,yes,no,yes
2,0,3,0,1,3,yes,no,,no,no,no,no,yes
1,0,5,1,2,3,yes,no,,no,no,no,no,yes
1,0,5,0,1,2,yes,no,,no,no,no,no,yes
1,0,6,1,3,3,yes,no,,no,yes,no,yes,yes
0,0,3,1,1,3,yes,yes,1.0,yes,no,yes,no,yes
1,1,3,1,1,3,yes,no,,no,no,yes,yes,no
3,5,13,0,10,2,yes,yes,100.0,no,no,no,no,yes
1,0,5,2,2,4,yes,no,,yes,yes,no,yes,yes
2,1,4,0,1,2,no,no,,no,no,no,no,no
1,0,6,0,2,2,no,no,,no,no,no,no,no
1,2,9,2,3,2,yes,yes,50.0,no,no,yes,no,yes
1,0,3,1,3,3,yes,no,,no,no,no,no,no
2,2,4,0,3,3,yes,no,,no,no,yes,no,yes
0,0,3,0,1,1,no,yes,20.0,no,no,no,no,yes
2,0,3,0,1,2,no,no,,no,no,no,no,no
1,3,8,2,2,2,yes,yes,20.0,no,no,no,no,yes
1,0,5,1,2,2,yes,no,,no,no,yes,no,yes
1,0,4,2,1,3,yes,no,,no,no,no,no,no
0,0,7,0,5,3,yes,no,,no,no,yes,no,yes
5,0,11,0,8,2,yes,yes,30.0,no,no,no,no,no
2,1,8,1,5,4,yes,no,,yes,yes,no,yes,no
1,1,5,1,2,2,yes,no,,no,no,no,no,no
1,1,5,1,2,3,yes,no,,no,no,no,no,yes
1,0,4,1,1,3,yes,yes,unknown,no,no,no,no,yes
3,1,8,2,3,3,yes,yes,unknown,no,no,no,no,yes
0,0,1,0,2,4,yes,no,,no,yes,yes,no,yes
1,1,2,0,1,1,no,no,,no,no,no,no,no
1,0,4,0,4,2,no,yes,unknown,no,no,no,no,no
1,0,3,0,1,3,yes,no,,no,no,no,no,no
1,0,3,0,3,2,no,yes,unknown,no,no,yes,no,yes
2,1,4,0,4,3,yes,no,,no,no,no,no,yes
2,0,5,0,3,3,yes,yes,unknown,no,yes,yes,no,yes
0,1,1,0,1,3,yes,no,,no,no,yes,no,yes
1,0,1,0,1,2,yes,no,,no,no,no,no,no
0,0,4,0,3,3,yes,no,,no,no,no,no,yes
1,2,7,1,2,2,yes,yes,25.0,no,no,no,no,no
1,1,3,1,2,3,yes,yes,unknown,no,no,yes,no,yes
1,0,6,0,3,2,yes,yes,150.0,no,no,yes,no,no
0,0,1,0,4,4,yes,yes,unknown,no,yes,yes,no,yes
1,1,3,1,1,3,yes,yes,unknown,no,no,yes,no,yes
1,1,6,2,3,2,no,no,,no,no,no,no,no
3,0,11,1,6,3,yes,yes,50.0,no,no,no,no,yes
1,0,5,0,3,3,yes,no,,no,no,no,no,yes
0,0,3,0,2,3,yes,yes,20.0,no,no,no,no,yes
0,0,4,2,2,2,yes,yes,50.0,no,no,no,no,yes
1,1,3,0,1,1,no,yes,20.0,no,no,no,no,no
1,0,9,1,4,1,no,yes,35.0,no,no,yes,no,no
0,0,3,0,3,1,yes,yes,35.0,no,no,yes,no,yes
1,1,5,1,2,0,no,yes,50.0,no,no,no,no,no
1,0,4,1,3,0,no,yes,30.0,no,no,no,no,no
2,1,7,2,3,2,yes,yes,30.0,no,no,no,no,yes
1,0,4,2,1,0,no,yes,20.0,no,no,no,no,no
1,0,3,2,2,2,yes,no,,no,no,no,no,no
1,0,3,0,4,0,no,yes,10.0,no,no,no,no,yes
1,0,3,0,2,2,yes,yes,15.0,no,no,yes,no,no
1,0,4,1,2,0,no,yes,40.0,no,no,no,no,no
0,0,3,1,1,0,no,yes,10.0,no,no,no,no,no
1,0,4,1,2,0,no,yes,20.0,no,no,no,no,no
1,1,3,1,1,0,no,yes,30.0,no,no,no,no,no
1,1,5,1,1,0,no,yes,5.0,no,no,no,no,no
2,0,5,1,1,2,yes,yes,15.0,no,no,yes,no,no
2,0,5,1,2,0,no,no,,no,no,no,no,no
1,0,4,2,1,0,yes,yes,10.0,no,no,yes,no,no
0,0,4,0,4,0,no,yes,10.0,no,no,no,no,no
1,0,4,0,2,1,yes,yes,30.0,no,no,yes,no,yes
1,0,8,2,4,2,yes,yes,15.0,no,no,yes,no,yes
0,0,8,1,5,2,yes,yes,35.0,no,no,yes,no,yes
1,0,4,1,1,1,no,yes,100.0,no,no,no,no,no
0,1,4,0,2,0,yes,yes,20.0,no,no,yes,no,no
1,1,4,1,1,4,yes,no,,no,yes,yes,yes,yes
0,1,6,0,5,4,yes,no,,yes,yes,yes,yes,yes
1,1,6,0,3,3,yes,no,,no,no,yes,no,yes
1,0,4,1,2,3,yes,no,,no,no,no,no,yes
1,3,5,1,3,4,yes,no,,yes,yes,yes,yes,yes
1,0,4,1,3,4,yes,no,,yes,yes,yes,yes,no
1,1,3,1,3,4,yes,no,,no,yes,yes,yes,yes
2,2,4,0,2,4,yes,no,,no,yes,yes,yes,yes
1,1,5,2,3,4,yes,no,,yes,yes,yes,yes,no
0,0,6,0,4,3,no,no,,no,no,yes,no,yes
2,0,7,1,3,4,yes,no,,yes,yes,yes,yes,yes
1,1,6,1,2,4,yes,no,,no,yes,yes,yes,yes
0,0,1,0,1,3,yes,yes,2.0,no,no,no,no,yes
0,1,1,0,2,3,yes,no,,no,no,yes,no,yes
1,0,4,1,2,4,yes,no,,no,yes,yes,yes,yes
1,0,5,1,1,3,yes,no,,no,no,yes,no,yes
2,2,5,0,3,4,yes,no,,yes,yes,yes,yes,yes
1,0,4,1,1,3,no,no,,no,no,no,yes,no
1,1,3,1,2,4,yes,no,,no,yes,yes,yes,yes
1,0,5,0,3,4,yes,no,,no,yes,yes,yes,yes
2,2,5,1,3,4,yes,no,,no,yes,yes,yes,yes
2,0,8,2,3,4,yes,no,,yes,yes,yes,yes,yes
3,0,8,1,2,4,yes,no,,no,yes,yes,no,yes
0,0,1,0,1,4,yes,no,,no,yes,yes,yes,yes
1,0,6,1,6,3,yes,yes,45.0,no,no,yes,no,yes
1,0,4,0,2,2,no,yes,35.0,no,no,no,no,yes
2,1,8,2,2,1,yes,yes,25.0,no,no,no,no,no
5,0,13,1,4,1,yes,yes,55.0,no,no,no,no,no
3,4,14,3,5,3,yes,yes,45.0,no,no,yes,no,yes
1,2,6,1,3,2,yes,yes,30.0,no,no,no,no,no
0,0,5,0,5,3,yes,yes,25.0,no,no,yes,no,yes
1,3,7,0,4,1,no,yes,55.0,no,no,no,no,yes
3,0,10,0,4,3,yes,yes,40.0,no,no,yes,no,no
3,0,8,1,2,1,yes,yes,25.0,no,no,no,no,no
4,2,12,1,6,2,yes,yes,40.0,no,no,no,no,no
3,3,9,0,4,2,yes,yes,45.0,no,no,yes,no,yes
1,0,3,0,2,2,yes,yes,30.0,no,no,yes,no,no
1,0,8,0,6,2,yes,yes,45.0,no,no,no,no,no
1,0,7,1,3,3,yes,yes,25.0,no,no,no,no,no
2,0,5,1,2,1,no,yes,40.0,no,no,no,no,no
2,0,7,0,3,3,yes,yes,55.0,no,no,yes,no,yes
1,5,6,0,3,3,yes,no,,no,no,yes,no,yes
1,0,6,1,2,1,no,yes,20.0,no,no,no,no,no
0,1,4,0,3,3,yes,yes,30.0,no,no,no,no,no
2,0,7,0,4,2,yes,yes,35.0,no,no,no,no,no
1,0,5,0,2,3,yes,no,,no,no,no,no,no
1,0,6,1,5,3,yes,no,,no,no,yes,no,yes
2,0,10,1,5,2,yes,yes,55.0,no,no,no,no,yes
1,0,11,0,3,3,yes,yes,61.0,no,no,yes,no,yes
3,1,8,1,2,2,yes,yes,23.0,no,no,yes,no,yes
1,0,3,1,1,1,yes,no,,no,no,no,no,no
1,0,6,2,2,1,yes,no,,no,no,yes,no,yes
1,0,4,2,1,1,yes,yes,30.0,no,no,no,no,yes
1,4,6,0,3,2,yes,yes,25.0,no,no,no,no,yes
1,0,3,1,1,2,no,no,,no,no,no,no,no
0,0,2,1,1,1,no,no,,no,no,no,no,no
3,0,9,2,3,2,yes,yes,10.0,no,no,no,no,no
2,1,7,3,5,2,yes,yes,41.0,no,no,no,no,no
1,3,6,0,5,4,yes,yes,70.0,yes,yes,yes,yes,yes
2,0,7,1,4,2,yes,no,,no,no,yes,no,no
1,0,3,1,1,2,yes,no,,no,no,yes,no,no
0,0,6,1,1,0,no,no,,no,no,no,no,no
1,0,7,2,2,2,yes,no,,no,no,yes,no,no
2,1,6,2,3,2,yes,no,,no,no,no,no,no
1,1,4,2,1,2,yes,yes,42.0,no,no,yes,no,no
1,0,4,1,1,2,yes,yes,23.0,no,no,no,no,no
1,0,3,1,3,2,yes,no,,no,no,yes,no,yes
2,0,8,0,6,1,yes,yes,40.0,no,no,no,no,yes
1,0,7,3,2,2,yes,no,,no,no,no,no,yes
2,0,9,2,4,3,yes,yes,102.0,no,no,yes,no,no
2,0,6,3,2,0,yes,no,,no,no,no,no,no
1,0,2,0,1,4,yes,no,,yes,yes,yes,yes,no
1,0,3,1,1,3,yes,no,,no,yes,no,no,yes
1,0,4,2,1,4,no,no,,no,yes,no,yes,no
0,0,7,0,2,4,yes,no,,yes,yes,yes,yes,yes
1,2,4,0,3,4,yes,no,,yes,yes,yes,yes,yes
0,1,1,0,1,4,yes,no,,no,yes,yes,no,yes
0,1,1,0,1,4,yes,no,,no,yes,yes,yes,yes
1,0,4,0,3,4,yes,no,,yes,yes,yes,yes,yes
1,3,7,1,4,4,yes,no,,yes,yes,yes,yes,yes
0,0,3,0,3,4,yes,no,,no,yes,yes,yes,yes
3,0,4,1,2,3,yes,no,,no,yes,yes,yes,no
1,1,4,1,2,4,yes,no,,no,yes,yes,yes,yes
3,4,10,2,5,3,yes,no,,no,no,yes,no,yes
2,0,7,2,1,4,yes,no,,yes,yes,yes,yes,yes
1,1,3,0,3,4,yes,no,,no,no,yes,no,yes
3,0,6,1,3,4,yes,no,,yes,yes,yes,yes,yes
0,0,2,0,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,3,1,1,4,yes,no,,no,yes,yes,yes,no
2,0,6,1,3,3,yes,no,,yes,no,no,yes,yes
0,1,1,0,1,3,yes,no,,no,no,yes,no,yes
1,0,4,1,1,3,yes,yes,unknown,no,no,yes,no,no
0,0,2,0,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,3,0,2,4,yes,no,,yes,no,yes,no,yes
1,0,4,2,1,3,yes,no,,no,yes,no,yes,no
2,0,8,1,3,1,no,no,,no,no,no,no,no
2,0,6,2,3,3,yes,no,,no,no,yes,no,yes
1,1,7,1,3,2,yes,yes,1.0,no,no,yes,no,yes
1,0,10,0,4,0,yes,yes,unknown,no,no,no,no,no
1,1,8,1,3,1,yes,yes,30.0,no,no,no,no,no
1,0,6,1,2,3,yes,no,,no,no,yes,no,no
1,0,5,0,3,1,yes,yes,40.0,no,no,no,no,yes
1,0,5,1,2,2,yes,yes,70.0,no,no,yes,no,no
3,1,7,1,2,1,yes,yes,30.0,no,no,no,no,no
1,0,5,1,3,2,yes,yes,50.0,no,no,yes,no,no
1,0,4,0,1,1,yes,no,,no,no,yes,no,no
1,0,8,2,4,2,yes,yes,unknown,no,no,no,no,no
1,0,7,2,3,1,yes,yes,40.0,no,no,no,no,no
0,2,7,1,3,2,yes,yes,20.0,no,no,no,no,yes
1,1,5,2,2,0,yes,yes,unknown,no,no,no,no,yes
2,0,7,1,3,1,yes,yes,unknown,no,no,yes,no,yes
2,0,7,0,3,2,yes,yes,1.0,no,no,yes,no,yes
3,1,13,3,4,1,yes,yes,unknown,no,no,yes,no,yes
1,0,9,1,3,3,yes,yes,10.0,no,no,yes,no,yes
3,1,8,1,4,2,yes,yes,60.0,no,no,no,no,no
1,0,6,1,3,1,yes,yes,10.0,no,no,no,no,no
1,2,10,2,4,3,yes,yes,unknown,no,no,yes,no,yes
2,0,8,1,4,2,yes,no,,no,no,no,no,yes
2,2,11,2,4,2,no,yes,unknown,no,no,no,no,yes
1,1,6,0,4,4,yes,no,,no,yes,yes,yes,yes
1,2,5,1,2,4,yes,no,,no,yes,no,yes,yes
2,0,9,2,5,4,yes,no,,yes,yes,yes,yes,yes
1,0,4,0,2,4,yes,no,,yes,yes,yes,yes,yes
2,1,7,1,3,4,yes,yes,84.0,no,yes,yes,yes,yes
2,0,8,0,3,4,yes,no,,no,yes,yes,yes,yes
1,0,4,1,2,4,yes,no,,no,yes,no,yes,yes
2,0,5,2,2,3,yes,no,,no,no,no,yes,yes
2,0,4,1,2,3,yes,no,,no,no,no,yes,yes
1,0,2,0,1,3,yes,yes,unknown,no,no,no,yes,no
1,0,2,0,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,4,0,2,4,yes,no,,no,yes,yes,yes,yes
2,0,5,1,1,3,yes,no,,no,yes,no,yes,yes
1,3,6,1,3,4,yes,yes,20.0,no,yes,yes,yes,yes
1,0,4,1,2,3,yes,no,,no,no,no,yes,yes
2,0,5,1,3,4,yes,yes,84.0,yes,yes,yes,yes,yes
1,0,2,0,1,4,yes,no,,no,yes,yes,yes,yes
1,1,4,2,5,4,yes,no,,yes,yes,yes,yes,yes
0,0,1,0,1,4,yes,no,,yes,yes,no,yes,yes
0,0,2,0,2,3,yes,no,,no,no,yes,no,yes
1,0,6,0,3,3,yes,no,,no,yes,no,yes,yes
2,1,5,1,2,4,yes,no,,yes,yes,yes,yes,yes
1,0,9,1,4,3,yes,no,,no,yes,yes,yes,yes
1,3,7,1,4,4,yes,yes,98.0,yes,yes,yes,yes,yes
1,0,3,0,3,2,no,no,,no,no,no,no,no
0,1,4,0,2,1,yes,no,,no,no,yes,no,no
0,0,5,0,3,2,yes,yes,5.0,no,no,no,no,yes
3,0,12,1,4,2,no,yes,40.0,no,no,no,no,no
1,1,4,0,4,2,yes,no,,no,no,no,no,yes
0,0,3,0,2,2,yes,no,,no,no,yes,no,no
0,1,5,0,3,2,no,no,,no,no,yes,no,no
1,0,7,0,3,1,yes,yes,5.0,no,no,no,no,no
2,0,5,0,3,3,yes,no,,no,no,yes,no,yes
0,2,2,0,4,1,yes,yes,5.0,no,no,no,no,no
3,0,9,1,4,2,yes,no,,no,no,yes,no,no
2,3,13,1,3,2,no,no,,no,no,no,no,no
1,0,3,0,2,3,no,yes,30.0,no,no,no,no,no
2,0,5,0,3,1,yes,no,,no,no,yes,no,no
1,1,6,1,2,2,yes,yes,5.0,no,no,no,no,no
2,0,5,1,2,2,yes,no,,no,no,yes,no,no
1,3,8,0,3,1,yes,no,,no,no,yes,no,no
0,0,1,0,1,3,no,no,,no,no,yes,no,yes
2,1,6,1,4,3,yes,no,,no,no,yes,no,yes
1,0,4,0,3,2,yes,yes,10.0,no,no,no,no,no
0,0,1,0,4,2,no,yes,5.0,no,no,no,no,no
1,0,7,0,4,4,yes,no,,yes,yes,yes,yes,yes
2,4,12,2,5,1,yes,no,,no,no,yes,no,yes
0,0,6,2,3,2,no,no,,no,no,no,no,no
